"","locationID","Latitude","Longitude"
"188","4Z5",62.0072,141.1814
"189","AK89",61.6569,149.8369
"190","AA33",61.6042,149.77
"191","AK29",61.6125,149.8522
"192","13AK",61.6547,149.9
"193","AA30",61.6481,149.8708
"194","HUS",66.0392,154.2647
"195","HLA",65.6978,156.3514
"196","19AK",59.9689,141.6617
"197","2AK8",70.2925,161.9033
"198","IGG",59.3242,155.9017
"199","ILI",59.7556,154.9178
"200","2AK9",65.6736,162.4642
"201","4Z9",59.4522,151.5225
"202","AK60",57.885,157.0969
"203","JNU",58.355,134.5764
"204","AFE",56.9614,133.9103
"205","8AK7",70.1728,146.8361
"206","1KC",64.4244,156.8433
"207","KLG",61.5364,160.3414
"208","KAL",64.3189,158.7414
"209","5Z5",63.5417,150.9939
"210","Z90",63.7486,150.3294
"211","KYK",57.5661,154.4539
"212","Z09",60.8733,162.5244
"213","5KS",60.3533,151.2628
"214","5Z7",59.4689,151.5733
"215","52AK",60.5058,151.2464
"216","6AK3",60.7294,151.2781
"217","8AK2",60.7025,151.2942
"218","30AK",60.5028,151.26
"219","3AK5",60.5889,152.1619
"220","75AK",60.5931,151.3281
"221","3AK4",60.6325,151.34
"222","ENA",60.5733,151.2447
"223","KTN",55.3542,131.7111
"224","IAN",66.9758,160.4367
"225","KVC",55.1164,162.2661
"226","AKN",58.6764,156.6486
"227","IIK",59.9331,164.0306
"228","KVL",67.7361,164.5636
"229","AKW",55.5792,133.0761
"230","OBU",66.9122,156.8972
"231","ADQ",57.75,152.4939
"232","KDK",57.8058,152.3739
"233","5KO",58.87,157.0106
"234","9K2",59.4333,154.8025
"235","JZZ",59.7267,157.2594
"236","DUY",59.9608,162.8811
"237","2A9",63.0306,163.5328
"238","OTZ",66.8847,162.5986
"239","KKA",64.9394,161.1542
"240","KYU",64.8758,157.7306
"241","LKK",58.9819,155.1214
"242","UBW",70.3308,149.5975
"243","9Z7",58.9625,156.9322
"244","KWT",60.7903,161.4436
"245","GGV",59.8764,163.1686
"246","Z55",62.2936,146.5794
"247","2A3",57.535,153.9767
"248","9Z9",60.4111,149.3703
"249","9Z8",59.1281,156.8586
"250","2AK",61.3592,155.4406
"251","4AK",65.4725,148.6692
"252","AK71",70.9108,153.2422
"253","4AK3",61.3778,143.3258
"254","LSR",65.3961,167.1631
"255","AK45",65.4561,167.1756
"256","4AK5",62.99,144.48
"257","MLY",64.9975,150.6442
"258","MBA",58.9319,158.9019
"259","MDM",61.8642,162.0261
"260","MYK",61.3356,142.6867
"261","0AK5",61.3564,142.7333
"262","AK0",61.2186,142.8897
"263","15Z",61.4369,142.9036
"264","AK31",61.4111,143.0011
"265","MCG",62.9528,155.6056
"266","AK40",63.2292,154.7603
"267","AK06",63.645,148.7981
"268","INR",63.7325,148.9106
"269","24AK",61.6158,149.7069
"270","MYU",60.3714,166.2706
"271","MDO",59.45,146.3072
"272","MHM",63.8861,152.3019
"273","51Z",65.1436,149.37
"274","0AK3",62.0358,150.4939
"275","99AK",62.5992,157.1517
"276","MOU",62.0953,163.6819
"277","IBN",62.4019,142.9956
"278","76Z",58.9275,157.0472
"279","5NK",58.7328,157.02
"280","4AK9",58.7342,157.0072
"281","AK07",59.2411,151.8772
"282","KEB",59.3522,151.9253
"283","4AK8",61.5364,158.7389
"284","WNA",60.6903,161.9786
"285","PKA",60.7028,161.7783
"286","OUL",56.0075,161.1603
"287","ENN",64.5472,149.0739
"288","KNW",59.4517,157.3731
"289","EWU",60.9392,164.6411
"290","IGT",60.4711,164.7008
"291","AK73",60.7253,151.3022
"292","FSP",63.0186,154.3583
"293","IKO",52.9417,168.8489
"294","NIN",60.0203,151.5894
"295","WTK",67.5611,162.9803
"296","OME",64.5122,165.4453
"297","94Z",64.5131,165.3958
"298","5NN",59.9803,154.8392
"299","D76",66.8175,161.0222
"300","5AK3",64.7731,147.3339
"301","95Z",64.7592,147.3878
"302","AK41",64.5439,146.8442
"303","5AK2",64.7306,147.3478
"304","0AK0",64.3925,146.8622
"305","AA76",64.7694,147.3294
"306","ORT",62.9614,141.9292
"307","33AK",62.5172,150.9453
"308","AK20",70.4206,150.8867
"309","AQT",70.21,151.0056
"310","NUL",64.7294,158.0742
"311","16A",60.9061,162.4406
"312","ZNC",60.9806,159.9936
"313","6R7",57.2181,153.2697
"314","Z17",63.1461,156.53
"315","4K5",57.9228,152.5006
"316","AK46",61.6289,149.0433
"317","3AK6",61.5931,149.3022
"318","AK1",61.5303,149.0178
"319","34AK",61.625,149.2886
"320","5AK6",61.5569,149.2683
"321","AK53",61.5822,148.9969
"322","AK88",61.6047,149.0403
"323","14AK",61.6025,149.2481
"324","39AK",61.5861,149.2361
"325","5AK9",61.5486,149.1903
"326","AK93",61.6553,149.2736
"327","97AK",61.6639,149.2536
"328","AK66",61.4631,148.8042
"329","82AK",61.6167,149.1914
"330","AK92",61.6381,149.0289
"331","3AK2",61.6275,149.2867
"332","PAQ",61.595,149.0886
"333","AK63",61.5886,149.1425
"334","AK50",61.5544,149.1444
"335","7AK9",61.6469,149.0486
"336","05AK",61.6686,149.1875
"337","4AK6",61.6408,149.2889
"338","PXK",63.0244,145.5006
"339","4K0",59.7897,154.1239
"340","PEV",55.9067,159.1608
"341","PSG",56.8017,132.9453
"342","PNP",57.5803,157.5719
"343","UGB",57.4253,157.74
"344","0AK",61.9344,162.8994
"345","PTU",59.0114,161.8197
"346","6AK1",58.9117,161.7139
"347","PHO",68.3489,166.7994
"348","PIZ",69.7322,163.0111
"349","64AK",61.44,150.0261
"350","0AK9",61.3325,150.0592
"351","2AK0",61.2558,149.9747
"352","AK36",61.4361,150.1222
"353","50AK",61.3806,150.1161
"354","6AK2",61.2514,149.9822
"355","AK14",61.3533,150.0825
"356","AK11",70.4017,148.6822
"357","PCK",67.2378,150.2861
"358","TPO",60.2044,154.3189
"359","AK51",60.1986,154.3247
"360","KPC",65.2536,166.8586
