GEOID,State,Urban,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeT,POP2010,UATYP10,PNT_COUNT,Shape_Area,areahalfmile,Shape_Area_1,areamile
36081028000,NY,1,496,0,0,0,1551,U,0,3.788348489E-006,0.0137304522,1.7790731129E-005,0.0644789305
36081028500,NY,1,2124,0,0,0,4729,U,0,1.6857314779E-005,0.0610390188,1.6857317289E-005,0.0610390279
36081030904,NY,1,1237,12,0.003233,1,3712,U,0,1.8563838956E-005,0.0672061054,4.3749792302E-005,0.1583860717
36081033700,NY,1,981,0,0,1,3619,U,0,1.6087521119E-005,0.0582453902,1.6087521582E-005,0.0582453919
36081036600,NY,1,907,39,0.015046,0,2592,U,0,2.99736605E-005,0.1086405117,3.9674341324E-005,0.1437977474
36081036800,NY,1,755,0,0,0,2362,U,0,2.3884268844E-005,0.0865681775,2.3884268207E-005,0.0865681752
36081038100,NY,1,1668,113,0.016598,1,6808,U,0,9.055202848E-006,0.0327864154,3.0250797226E-005,0.1095282491
36061001401,NY,1,1537,97,0.03228,0,3005,U,0,9.884811988E-006,0.035811351,9.884812249E-006,0.0358113519
36061002500,NY,1,1883,68,0.013966,1,4869,U,0,0.000023828,0.08633333,2.4244861835E-005,0.0878438779
36061002602,NY,1,2044,179,0.042347,1,4227,U,0,1.1057185216E-005,0.0400532514,1.1057183097E-005,0.0400532438
36061004100,NY,1,3485,363,0.046437,1,7817,U,0,0.000020353,0.0737318185,0.000020353,0.0737318067
36061004700,NY,1,1441,0,0,0,2524,U,0,1.7357473116E-005,0.0628770364,1.735747299E-005,0.0628770359
36061005400,NY,1,2592,209,0.046076,0,4536,U,0,1.7907867272E-005,0.0648550793,1.7907867623E-005,0.0648550806
36081140902,NY,1,854,11,0.004226,0,2603,U,0,0,0,4.4193763815E-005,0.1600371301
36103111300,NY,1,1612,40,0.008523,0,4693,U,0,0,0,6.4251465554E-005,0.2322294229
36055009602,NY,1,593,0,0,1,1640,U,0,0,0,0.000068946,0.2405398841
36055013401,NY,1,1965,0,0,0,4043,U,0,0,0,0.0001358192,0.4730245501
36059410200,NY,1,1371,105,0.027501,0,3818,U,0,0,0,0.0001250688,0.4534055946
36001001700,NY,1,1824,145,0.036061,0,4021,U,0,0,0,2.8047383001E-005,0.0986233948
36067000300,NY,1,678,18,0.011531,1,1561,U,0,0,0,3.8236421619E-005,0.1335581706
36103111503,NY,1,1662,8,0.001851,0,4323,U,0,0,0,9.125902083E-006,0.0329890435
36007013202,NY,1,1547,10,0.003136,0,3189,U,0,0,0,9.3923106232E-005,0.333105996
36081017400,NY,1,665,23,0.01025,0,2244,U,0,0,0,2.0307155813E-005,0.0736077513
36119008100,NY,1,1600,0,0,0,4418,U,0,0,0,7.4634826886E-005,0.2692062509
36119013500,NY,1,1309,63,0.016475,0,3824,U,0,0,0,9.64168962E-006,0.0346958901
36063023100,NY,1,1099,0,0,0,2370,U,0,0,0,0.0001075175,0.3758473218
36029012400,NY,1,1090,15,0.006944,1,2160,U,0,0,0,5.5158287417E-005,0.193510477
36083040600,NY,1,724,654,0.256874,1,2546,U,0,0,0,1.9234392145E-005,0.067563527
36085002002,NY,1,1207,107,0.032842,0,3258,U,0,0,0,5.2007193947E-005,0.1887304658
36047017600,NY,1,909,0,0,1,2295,U,0,0,0,1.3812517352E-005,0.0501240669
36091062200,NY,1,1401,0,0,1,3059,U,0,0,0,2.103449252E-006,0.0073674271
36047023400,NY,1,1455,3,0.000593,1,5059,U,0,0,0,0.000018076,0.0655654633
36005013200,NY,1,2186,7,0.001189,0,5890,U,0,0,0,0.000057786,0.2090388982
36005029301,NY,1,905,174,0.0928,0,1875,U,0,0,0,5.4828591367E-005,0.1981428985
36015000900,NY,1,1449,26,0.006971,1,3730,U,0,0,0,7.839689531E-005,0.2782126136
36015001100,NY,1,1406,18,0.005083,1,3541,U,0,0,0,6.7170531758E-005,0.2383952772
36001013503,NY,1,1815,15,0.003507,0,4277,U,0,0,0,0.000015768,0.0553599692
36001014202,NY,1,2506,25,0.00421,0,5938,U,0,0,0,0.000015287,0.0537878246
36059410000,NY,1,1099,65,0.019334,0,3362,U,0,0,0,0.0001305281,0.4731216114
36091060102,NY,1,1914,9,0.001796,0,5011,U,0,0,0,0.00052089,1.813343185
36075021402,NY,1,680,9,0.005425,0,1659,C,0,0,0,6.4020592E-007,0.0022239258
36091062506,NY,1,2095,10,0.001861,0,5373,U,0,0,0,1.5138551318E-005,0.0530854117
36047003600,NY,1,1826,10,0.002629,0,3804,U,0,0,0,1.2417280538E-005,0.0450397148
36047011600,NY,1,1267,11,0.002284,1,4816,U,0,0,0,1.7058663587E-005,0.0618737216
36063023902,NY,1,2296,235,0.04429,0,5306,C,0,0,0,4.71383112E-006,0.0164457642
