"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"506","RT @amydyslex: Preparing For The #BigData Revolution
 https://t.co/PEPvc2pYqH 
#Data #DataScience",FALSE,0,NA,2016-03-15 20:39:05,FALSE,NA,"709841371557961728",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","bigboardsio",4,TRUE,FALSE,NA,NA
"507",".@Spotify is doing amazing things with #DataScience to personalize your music. #TheSalonMBA",FALSE,0,NA,2016-03-15 20:38:53,FALSE,NA,"709841320555098112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alisonjherzog",0,FALSE,FALSE,NA,NA
"508","RT @pmddomingos: Everything you always wanted to know about machine learning: http://t.co/8Foq8usg27 #MachineLearning #AI #DataScience http…",FALSE,0,NA,2016-03-15 20:38:24,FALSE,NA,"709841198765051904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_Steviejohnston",102,TRUE,FALSE,NA,NA
"509","RT @JobHero_io: Now Hiring! - Issue #29 Job Hero Weekly

&gt; https://t.co/5wUHKx9eWY

#DataScience #Analytics #Python #SQL #BigData https://t…",FALSE,0,NA,2016-03-15 20:38:16,FALSE,NA,"709841164426285056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","madil80",3,TRUE,FALSE,NA,NA
"510","RT @EvanSinar: The lifecycle and ecosystem of 22 hot big data technologies @Forbes https://t.co/LAWdlbDzjm #bigdata #datascience https://t.…",FALSE,0,NA,2016-03-15 20:38:10,FALSE,NA,"709841138086191109",NA,"<a href=""http://idl.baidu.com/"" rel=""nofollow"">Visual Recognition</a>","AndrewBaidu",31,TRUE,FALSE,NA,NA
"511","Reading now <U+2192> 10 @HarvardBiz Review Articles that you should Read &gt; @DataScienceCtrl https://t.co/RywtkcR6aa #DataScience #machinelearning",FALSE,2,NA,2016-03-15 20:38:03,FALSE,NA,"709841111594999810",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dunnhumby",1,FALSE,FALSE,NA,NA
"512","RT @EvanSinar: The 5 Biggest Risks of Big Data @BernardMarr @DataScienceCtrl https://t.co/Qg400duxyo #datascience #bigdata https://t.co/x4D…",FALSE,0,NA,2016-03-15 20:37:50,FALSE,NA,"709841056020439040",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","_____PP_____",38,TRUE,FALSE,NA,NA
"513","RT @KirkDBorne: Thank you Richard @GazzaToGo for sharing the #DataProduct discussion and the #DataScience love!
#DataProductChat",FALSE,0,NA,2016-03-15 20:37:39,FALSE,NA,"709841007303651329",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","renato_umeton",2,TRUE,FALSE,NA,NA
"514","RT @JobHero_io: Now Hiring! - Issue #29 Job Hero Weekly

&gt; https://t.co/5wUHKx9eWY

#DataScience #Analytics #Python #SQL #BigData https://t…",FALSE,0,NA,2016-03-15 20:37:35,FALSE,NA,"709840992686333952",NA,"<a href=""http://www.rabianuray.net"" rel=""nofollow"">Data Science Wire</a>","sentiwire",3,TRUE,FALSE,NA,NA
"515","Now Hiring! - Issue #29 Job Hero Weekly

&gt; https://t.co/5wUHKx9eWY

#DataScience #Analytics #Python #SQL #BigData https://t.co/U5czTfqMMe",FALSE,4,NA,2016-03-15 20:37:34,FALSE,NA,"709840986592178176",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","JobHero_io",3,FALSE,FALSE,NA,NA
"516","RT @vrstartup: A Gentle Guide to #MachineLearning https://t.co/wkIzIiott2
#datascience #ai",FALSE,0,NA,2016-03-15 20:36:56,FALSE,NA,"709840829695692800",NA,"<a href=""http://discussions.club"" rel=""nofollow"">DiscussionsClub</a>","discussionsclub",6,TRUE,FALSE,NA,NA
"517","RT @KirkDBorne: #DataProductChat A8: Yes indeed @bobehayes -- #DataScience is a team sport, and so is #DataProduct development...
https://t…",FALSE,0,NA,2016-03-15 20:36:19,FALSE,NA,"709840673755811840",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","DataToValue",6,TRUE,FALSE,NA,NA
"518","RT @Ronald_vanLoon: Stream Processing Everywhere – What to Use? | #DataScience #Hadoop #RT https://t.co/H9E41Bq977 https://t.co/fEJnLvC7Oz",FALSE,0,NA,2016-03-15 20:36:03,FALSE,NA,"709840606307155969",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ArkangelScrap",15,TRUE,FALSE,NA,NA
"519","RT @Ronald_vanLoon: 7 common mistakes when doing Machine Learning | #DataScience #MachineLearning #RT https://t.co/5kCNe4E0lJ https://t.co/…",FALSE,0,NA,2016-03-15 20:35:51,FALSE,NA,"709840557112221698",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ArkangelScrap",14,TRUE,FALSE,NA,NA
"520","RT @luiy: #Bigdata, #SNA, #datascience - analysis and applications is out! https://t.co/o6A3TM6JEt Stories via @hong_chau @WondrousNet @Lis…",FALSE,0,NA,2016-03-15 20:35:49,FALSE,NA,"709840549335830528",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","hong_chau",2,TRUE,FALSE,NA,NA
"521","""How A Data Scientist Who’d Never Heard Of Basketball Mastered March Madness"" https://t.co/aIITYXqvFB #datascience https://t.co/3curDEQfas",FALSE,0,NA,2016-03-15 20:35:13,FALSE,NA,"709840398802411525",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nudro",0,FALSE,FALSE,NA,NA
"522","RT @EvanSinar: What Should Data Scientists Know About Psychology? @kdnuggets https://t.co/ymAjLRVUsL #datascience #iopsych https://t.co/eVO…",FALSE,0,NA,2016-03-15 20:35:11,FALSE,NA,"709840388027228160",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ThisisStats",27,TRUE,FALSE,NA,NA
"523","Ven a conocernos #DataDay #DataScience #DataDayMexico https://t.co/SX3tTu2jMF",FALSE,2,NA,2016-03-15 20:35:10,FALSE,NA,"709840384063447040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","richitsolution",2,FALSE,FALSE,NA,NA
"524","RT @Ronald_vanLoon: 14 Great Machine Learning, Data Science, R , DataViz Cheat Sheets | #DataScience #MachineLe… https://t.co/fxRegjigXY ht…",FALSE,0,NA,2016-03-15 20:35:07,FALSE,NA,"709840373435109376",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","keijo_j_k",46,TRUE,FALSE,NA,NA
"525","Fantastic #visualization of the #datascience process: https://t.co/lj0P9HzErZ https://t.co/BUuKNjm4f9",FALSE,6,NA,2016-03-15 20:35:07,FALSE,NA,"709840370830454784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Rosenrosen",3,FALSE,FALSE,NA,NA
"526","RT @Kenneth_Wilkins: Work in #epidemiology, #clinicalresearch or health #DataScience)? Learn new skills applied to #KidneyDisease; go to: h…",FALSE,0,NA,2016-03-15 20:34:52,FALSE,NA,"709840309551820801",NA,"<a href=""http://getsmoup.com"" rel=""nofollow"">Open Data Information</a>","api_bigdata",3,TRUE,FALSE,NA,NA
"527","RT @edwardmeinert: Learn more about #datascience and #eHealth this summer - https://t.co/XZTvOut722 with @imperialcollege and @EIT_Digital",FALSE,0,NA,2016-03-15 20:34:31,FALSE,NA,"709840220905193473",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","homeAIinfo",2,TRUE,FALSE,NA,NA
"528","RT @WonderMixTape: To celebrate 10yrs @awscloud @qwikLab is offering entire #training catalog free until 03/31/2016 https://t.co/hGxchd0ORv…",FALSE,0,NA,2016-03-15 20:34:31,FALSE,NA,"709840219663679490",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","homeAIinfo",2,TRUE,FALSE,NA,NA
