"","city","State","Year","Count","address","longitude","latitude"
"83","Aiken County","SC","2012",351,"Aiken County , SC",-81.6035062,33.6005783
"84","Akron City","OH","1988",2012,"Akron City , OH",-81.5190053,41.0814447
"85","Akron City","OH","1991",2826,"Akron City , OH",-81.5190053,41.0814447
"86","Akron City","OH","1992",2645,"Akron City , OH",-81.5190053,41.0814447
"87","Akron City","OH","1989",2251,"Akron City , OH",-81.5190053,41.0814447
"88","Akron City","OH","1994",2164,"Akron City , OH",-81.5190053,41.0814447
"89","Akron City","OH","1995",2268,"Akron City , OH",-81.5190053,41.0814447
"90","Akron City","OH","1996",2345,"Akron City , OH",-81.5190053,41.0814447
"91","Akron City","OH","1990",2584,"Akron City , OH",-81.5190053,41.0814447
"92","Akron City","OH","1985",1873,"Akron City , OH",-81.5190053,41.0814447
"93","Akron City","OH","1986",2445,"Akron City , OH",-81.5190053,41.0814447
"94","Akron City","OH","1987",2146,"Akron City , OH",-81.5190053,41.0814447
"95","Akron City","OH","2003",1303,"Akron City , OH",-81.5190053,41.0814447
"96","Akron City","OH","2004",1258,"Akron City , OH",-81.5190053,41.0814447
"97","Akron City","OH","2005",1279,"Akron City , OH",-81.5190053,41.0814447
"98","Akron City","OH","2006",1345,"Akron City , OH",-81.5190053,41.0814447
"99","Akron City","OH","2007",1584,"Akron City , OH",-81.5190053,41.0814447
"100","Akron City","OH","1993",2129,"Akron City , OH",-81.5190053,41.0814447
"101","Akron City","OH","2009",1919,"Akron City , OH",-81.5190053,41.0814447
"102","Akron City","OH","2010",1675,"Akron City , OH",-81.5190053,41.0814447
"103","Akron City","OH","2011",1779,"Akron City , OH",-81.5190053,41.0814447
"104","Akron City","OH","1999",778,"Akron City , OH",-81.5190053,41.0814447
"105","Akron City","OH","2000",610,"Akron City , OH",-81.5190053,41.0814447
"106","Akron City","OH","2001",1087,"Akron City , OH",-81.5190053,41.0814447
"107","Akron City","OH","2002",1206,"Akron City , OH",-81.5190053,41.0814447
"108","Akron City","OH","2008",1921,"Akron City , OH",-81.5190053,41.0814447
"109","Akron City","OH","2012",1759,"Akron City , OH",-81.5190053,41.0814447
"110","Alachua County","FL","2012",583,"Alachua County , FL",-82.3017728,29.6579549
"111","Alachua County","FL","2002",897,"Alachua County , FL",-82.3017728,29.6579549
"112","Alachua County","FL","2003",861,"Alachua County , FL",-82.3017728,29.6579549
"113","Alachua County","FL","2004",925,"Alachua County , FL",-82.3017728,29.6579549
"114","Alachua County","FL","2007",1041,"Alachua County , FL",-82.3017728,29.6579549
"115","Alachua County","FL","2008",878,"Alachua County , FL",-82.3017728,29.6579549
"116","Alachua County","FL","2009",772,"Alachua County , FL",-82.3017728,29.6579549
"117","Alachua County","FL","2001",874,"Alachua County , FL",-82.3017728,29.6579549
"118","Alachua County","FL","1997",1177,"Alachua County , FL",-82.3017728,29.6579549
"119","Alachua County","FL","1998",1059,"Alachua County , FL",-82.3017728,29.6579549
"120","Alachua County","FL","1999",948,"Alachua County , FL",-82.3017728,29.6579549
"121","Alachua County","FL","2000",929,"Alachua County , FL",-82.3017728,29.6579549
"122","Alachua County","FL","2011",581,"Alachua County , FL",-82.3017728,29.6579549
"123","Alachua County","FL","2006",1048,"Alachua County , FL",-82.3017728,29.6579549
"124","Alachua County","FL","2005",1027,"Alachua County , FL",-82.3017728,29.6579549
"125","Alachua County","FL","2010",596,"Alachua County , FL",-82.3017728,29.6579549
"126","Alameda County","CA","1989",348,"Alameda County , CA",-121.7195459,37.6016892
"127","Alameda County","CA","1990",423,"Alameda County , CA",-121.7195459,37.6016892
"128","Alameda County","CA","1988",190,"Alameda County , CA",-121.7195459,37.6016892
"129","Alameda County","CA","1991",484,"Alameda County , CA",-121.7195459,37.6016892
"130","Alameda County","CA","1992",931,"Alameda County , CA",-121.7195459,37.6016892
"131","Alameda County","CA","1994",1502,"Alameda County , CA",-121.7195459,37.6016892
"132","Alameda County","CA","1995",1331,"Alameda County , CA",-121.7195459,37.6016892
"133","Alameda County","CA","1996",687,"Alameda County , CA",-121.7195459,37.6016892
"134","Alameda County","CA","1993",1382,"Alameda County , CA",-121.7195459,37.6016892
"135","Alameda County","CA","1987",349,"Alameda County , CA",-121.7195459,37.6016892
"136","Alameda County","CA","1986",400,"Alameda County , CA",-121.7195459,37.6016892
"137","Alameda County","CA","1985",427,"Alameda County , CA",-121.7195459,37.6016892
"138","Alameda County","CA","2001",495,"Alameda County , CA",-121.7195459,37.6016892
"139","Alameda County","CA","2002",547,"Alameda County , CA",-121.7195459,37.6016892
"140","Alameda County","CA","2003",513,"Alameda County , CA",-121.7195459,37.6016892
"141","Alameda County","CA","2004",461,"Alameda County , CA",-121.7195459,37.6016892
"142","Alameda County","CA","2005",505,"Alameda County , CA",-121.7195459,37.6016892
"143","Alameda County","CA","2006",545,"Alameda County , CA",-121.7195459,37.6016892
"144","Alameda County","CA","2007",683,"Alameda County , CA",-121.7195459,37.6016892
"145","Alameda County","CA","2008",728,"Alameda County , CA",-121.7195459,37.6016892
"146","Alameda County","CA","2009",637,"Alameda County , CA",-121.7195459,37.6016892
"147","Alameda County","CA","1997",671,"Alameda County , CA",-121.7195459,37.6016892
"148","Alameda County","CA","1998",527,"Alameda County , CA",-121.7195459,37.6016892
"149","Alameda County","CA","1999",540,"Alameda County , CA",-121.7195459,37.6016892
"150","Alameda County","CA","2000",652,"Alameda County , CA",-121.7195459,37.6016892
"151","Alameda County","CA","2010",698,"Alameda County , CA",-121.7195459,37.6016892
"152","Alameda County","CA","2011",725,"Alameda County , CA",-121.7195459,37.6016892
"153","Alameda County","CA","2012",651,"Alameda County , CA",-121.7195459,37.6016892
"154","Albemarle County","VA","2010",125,"Albemarle County , VA",-78.6114999,38.0567092
"155","Albemarle County","VA","2009",109,"Albemarle County , VA",-78.6114999,38.0567092
"156","Albemarle County","VA","2011",106,"Albemarle County , VA",-78.6114999,38.0567092
"157","Albemarle County","VA","2012",99,"Albemarle County , VA",-78.6114999,38.0567092
"158","Albuquerque","NM","1987",3845,"Albuquerque , NM",-106.6055534,35.0853336
"159","Albuquerque","NM","1988",4275,"Albuquerque , NM",-106.6055534,35.0853336
"160","Albuquerque","NM","1989",4696,"Albuquerque , NM",-106.6055534,35.0853336
"161","Albuquerque","NM","1990",5121,"Albuquerque , NM",-106.6055534,35.0853336
"162","Albuquerque","NM","1991",5591,"Albuquerque , NM",-106.6055534,35.0853336
"163","Albuquerque","NM","1992",6168,"Albuquerque , NM",-106.6055534,35.0853336
"164","Albuquerque","NM","1997",5677,"Albuquerque , NM",-106.6055534,35.0853336
"165","Albuquerque","NM","1998",5563,"Albuquerque , NM",-106.6055534,35.0853336
"166","Albuquerque","NM","1999",5255,"Albuquerque , NM",-106.6055534,35.0853336
"167","Albuquerque","NM","1985",4105,"Albuquerque , NM",-106.6055534,35.0853336
"168","Albuquerque","NM","1986",4292,"Albuquerque , NM",-106.6055534,35.0853336
"169","Albuquerque","NM","2001",5259,"Albuquerque , NM",-106.6055534,35.0853336
"170","Albuquerque","NM","2002",4889,"Albuquerque , NM",-106.6055534,35.0853336
"171","Albuquerque","NM","2003",4439,"Albuquerque , NM",-106.6055534,35.0853336
"172","Albuquerque","NM","2004",4720,"Albuquerque , NM",-106.6055534,35.0853336
"173","Albuquerque","NM","2005",4670,"Albuquerque , NM",-106.6055534,35.0853336
"174","Albuquerque","NM","1993",6696,"Albuquerque , NM",-106.6055534,35.0853336
"175","Albuquerque","NM","1994",6707,"Albuquerque , NM",-106.6055534,35.0853336
"176","Albuquerque","NM","1995",4735,"Albuquerque , NM",-106.6055534,35.0853336
"177","Albuquerque","NM","1996",6267,"Albuquerque , NM",-106.6055534,35.0853336
"178","Albuquerque","NM","2010",4291,"Albuquerque , NM",-106.6055534,35.0853336
"179","Albuquerque","NM","2011",4207,"Albuquerque , NM",-106.6055534,35.0853336
"180","Albuquerque","NM","2012",4151,"Albuquerque , NM",-106.6055534,35.0853336
"181","Albuquerque","NM","2000",5136,"Albuquerque , NM",-106.6055534,35.0853336
